name_en,country_en,nominatim_query,name,alpha-2,population
Wiesbaden,Germany,Wiesbaden,Wiesbaden,DE,278342
Winterthur,Switzerland,Winterthur,Winterthur,CH,115129
Wloclawek,Poland,Wloclawek,Wloclawek,PL,107796
Wolfsburg,Germany,Wolfsburg,Wolfsburg,DE,124151
Wolverhampton,United Kingdom,Wolverhampton,Wolverhampton,GB,210319
Wroclaw,Poland,Wroclaw,Wroclaw,PL,642473
Wuppertal,Germany,Wuppertal,Wuppertal,DE,354382
Würzburg,Germany,Würzburg,Würzburg,DE,127880
Zaanstad,Netherlands,Zaanstad,Zaanstad,NL,151418
Zabrze,Poland,Zabrze,Zabrze,PL,169736
Zaporizhzhia,Ukraine,Zaporizhzhia,Zaporozhye,UA,706116
Zaragoza,Spain,Zaragoza,Zaragoza,ES,681430
Zhytomyr,Ukraine,Zhytomyr,Zhytomyr,UA,260367
Zielona Góra,Poland,Zielona Góra,Zielona Góra,PL,141631
Zoetermeer,Netherlands,Zoetermeer,Zoetermeer,NL,124025
Zurich,Switzerland,Zurich,Zürich,CH,423193
Zwolle,Netherlands,Zwolle,Zwolle,NL,123861
